Date	Close AAPL	Pret AAPL	Date	Close SMSM	Pret SMSM_dolar	Date	Pret Indice
29.09.2022	142479996	142.48	Sep 01, 2022	58400	44.38	Sep 23 2022	3693.23
30.09.2022	138199997	138.2	Aug 31, 2022	59700	45.37	Sep 26 2022	3655.04
03.10.2022	142449997	142.45	Aug 30, 2022	58800	44.69	Sep 27 2022	3647.29
04.10.2022	146100006	146.1	Aug 29, 2022	58600	44.54	Sep 28 2022	3719.04
05.10.2022	146399994	146.4	Aug 26, 2022	60000	45.6	Sep 29 2022	3640.47
06.10.2022	145429993	145.43	Aug 25, 2022	59700	45.37	Sep 30 2022	3585.62
07.10.2022	140089996	140.09	Aug 24, 2022	59000	44.84	Oct 03 2022	3678.43
10.10.2022	140419998	140.42	Aug 23, 2022	59100	44.92	Oct 04 2022	3790.93
11.10.2022	138979996	138.98	Aug 22, 2022	60000	45.6	Oct 05 2022	3783.28
12.10.2022	138339996	138.34	Aug 19, 2022	60900	46.28	Oct 06 2022	3744.52
13.10.2022	142990005	142.99	Aug 18, 2022	61500	46.74	Oct 07 2022	3639.66
14.10.2022	138380005	138.38	Aug 17, 2022	60400	45.9	Oct 10 2022	3612.39
17.10.2022	142410004	142.41	Aug 16, 2022	61000	46.36	Oct 11 2022	3588.84
18.10.2022	143750000	143.75	Aug 12, 2022	60200	45.75	Oct 12 2022	3577.03
19.10.2022	143860001	143.86	Aug 11, 2022	59900	45.52	Oct 13 2022	3669.91
20.10.2022	143389999	143.39	Aug 10, 2022	59100	44.92	Oct 14 2022	3583.07
21.10.2022	147270004	147.27	Aug 09, 2022	60000	45.6	Oct 17 2022	3677.95
24.10.2022	149449997	149.45	Aug 08, 2022	60800	46.21	Oct 18 2022	3719.98
25.10.2022	152339996	152.34	Aug 05, 2022	61500	46.74	Oct 19 2022	3695.16
26.10.2022	149350006	149.35	Aug 04, 2022	61500	46.74	Oct 20 2022	3665.78
27.10.2022	144800003	144.8	Aug 03, 2022	61300	46.59	Oct 21 2022	3752.75
28.10.2022	155740005	155.74	Aug 02, 2022	61700	46.89	Oct 24 2022	3797.34
31.10.2022	153339996	153.34	Aug 01, 2022	61300	46.59	Oct 25 2022	3859.11
01.11.2022	150649994	150.65	Jul 29, 2022	61400	46.66	Oct 26 2022	3830.6
02.11.2022	145029999	145.03	Jul 28, 2022	61900	47.04	Oct 27 2022	3807.3
03.11.2022	138880005	138.88	Jul 27, 2022	61800	46.97	Oct 28 2022	3901.06
04.11.2022	138380005	138.38	Jul 26, 2022	61700	46.89	Oct 31 2022	3871.98
07.11.2022	138919998	138.92	Jul 25, 2022	61100	46.44	Nov 01 2022	3856.1
08.11.2022	139500000	139.5	Jul 22, 2022	61300	46.59	Nov 02 2022	3759.69
09.11.2022	134869995	134.87	Jul 21, 2022	61800	46.97	Nov 03 2022	3719.89
10.11.2022	146869995	146.87	Jul 20, 2022	60500	45.98	Nov 04 2022	3770.55
11.11.2022	149699997	149.7	Jul 19, 2022	60900	46.28	Nov 07 2022	3806.8
14.11.2022	148279999	148.28	Jul 18, 2022	61900	47.04	Nov 08 2022	3828.11
15.11.2022	150039993	150.04	Jul 15, 2022	60000	45.6	Nov 09 2022	3748.57
16.11.2022	148789993	148.79	Jul 14, 2022	57500	43.7	Nov 10 2022	3956.37
17.11.2022	150720001	150.72	Jul 13, 2022	58000	44.08	Nov 11 2022	3992.93
18.11.2022	151289993	151.29	Jul 12, 2022	58100	44.16	Nov 14 2022	3957.25
21.11.2022	148009995	148.01	Jul 11, 2022	58800	44.69	Nov 15 2022	3991.73
22.11.2022	150179993	150.18	Jul 08, 2022	58700	44.61	Nov 16 2022	3958.79
23.11.2022	151070007	151.07	Jul 07, 2022	58200	44.23	Nov 17 2022	3946.56
25.11.2022	148110001	148.11	Jul 06, 2022	56400	42.86	Nov 18 2022	3965.34
28.11.2022	144220001	144.22	Jul 05, 2022	57200	43.47	Nov 21 2022	3949.94
29.11.2022	141169998	141.17	Jul 04, 2022	57100	43.4	Nov 22 2022	4003.58
30.11.2022	148029999	148.03	Jul 01, 2022	56200	42.71	Nov 23 2022	4027.26
01.12.2022	148309998	148.31	Jun 30, 2022	57000	43.32	Nov 25 2022	4026.12
02.12.2022	147809998	147.81	Jun 29, 2022	58000	44.08	Nov 28 2022	3963.94
05.12.2022	146630005	146.63	Jun 29, 2022		0	Nov 29 2022	3957.63
06.12.2022	142910004	142.91	Jun 28, 2022	59400	45.14	Nov 30 2022	4080.11
07.12.2022	140940002	140.94	Jun 27, 2022	58800	44.69	Dec 01 2022	4076.57
08.12.2022	142649994	142.65	Jun 24, 2022	58400	44.38	Dec 02 2022	4071.7
09.12.2022	142160004	142.16	Jun 23, 2022	57400	43.62	Dec 05 2022	3998.84
12.12.2022	144490005	144.49	Jun 22, 2022	57600	43.78	Dec 06 2022	3941.26
13.12.2022	145470001	145.47	Jun 21, 2022	58500	44.46	Dec 07 2022	3933.92
14.12.2022	143210007	143.21	Jun 20, 2022	58700	44.61	Dec 08 2022	3963.51
15.12.2022	136500000	136.5	Jun 17, 2022	59800	45.45	Dec 09 2022	3934.38
16.12.2022	134509995	134.51	Jun 16, 2022	60900	46.28	Dec 12 2022	3990.56
19.12.2022	132369995	132.37	Jun 15, 2022	60700	46.13	Dec 13 2022	4019.65
20.12.2022	132300003	132.3	Jun 14, 2022	61900	47.04	Dec 14 2022	3995.32
21.12.2022	135449997	135.45	Jun 13, 2022	62100	47.2	Dec 15 2022	3895.75
22.12.2022	132229996	132.23	Jun 10, 2022	63800	48.49	Dec 16 2022	3852.36
23.12.2022	131860001	131.86	Jun 09, 2022	65200	49.55	Dec 19 2022	3817.66
27.12.2022	130029999	130.03	Jun 08, 2022	65300	49.63	Dec 20 2022	3821.62
28.12.2022	126040001	126.04	Jun 07, 2022	65500	49.78	Dec 21 2022	3878.44
29.12.2022	129610001	129.61	Jun 03, 2022	66800	50.77	Dec 22 2022	3822.39
30.12.2022	129929993	129.93	Jun 02, 2022	66700	50.69	Dec 23 2022	3844.82
03.01.2023	125070000	125.07	May 31, 2022	67400	51.22	Dec 27 2022	3829.25
04.01.2023	126360001	126.36	May 30, 2022	67700	51.45	Dec 28 2022	3783.22
05.01.2023	125019997	125.02	May 27, 2022	66500	50.54	Dec 29 2022	3849.28
06.01.2023	129619995	129.62	May 26, 2022	65900	50.08	Dec 30 2022	3839.5
09.01.2023	130149994	130.15	May 25, 2022	66400	50.46	Jan 03 2023	3824.14
